cell_type,cell_id,model,seed,hof,decay_time_constant_after_stim,sag_amplitude,steady_state_voltage,steady_state_voltage_stimend,voltage_base,AHP1_depth_from_peak,AHP_depth,AHP_time_from_peak,AP1_peak,AP1_width,Spikecount,decay_time_constant_after_stim,depol_block,inv_first_ISI,mean_AP_amplitude,steady_state_voltage,steady_state_voltage_stimend,time_to_first_spike,voltage_base,slope,intercept
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_8.json,1,8,15.305362169261587,3.2001268113895946,-89.08405065864886,-105.58663717865541,-89.35222659552682,97.73108616383297,27.49907120669999,3.000000000174623,37.76885340580542,0.8343512455355576,16.0,17.607425154162474,1.0,83.3333333284827,77.71909114290214,-91.261662400546,-51.528543472237324,28.80000003078021,-89.48197365067779,274.4245974901641,0.10163945008657815
ITL23,569835804,ITL23__569835804_stage_1_seed_1_hof_9.json,1,9,10.809664775967077,3.1527903197487035,-83.0815077729663,-95.77455048776793,-83.3989813550563,78.66185031502042,26.152637135083573,5.100000000296859,24.57631024018124,0.944915269504415,13.0,12.189265549576398,1.0,81.30081300339775,62.330532841086935,-86.12753726360027,-51.618045391259976,27.900000030727824,-83.54635767448215,237.0432357203938,0.10165262906545647
ITL23,569860121,ITL23__569860121_stage_1_seed_1_hof_0.json,1,0,296.35405762258455,1.0235698495521888,-68.75431326579081,-78.47809904160722,-68.80571816797992,94.84522293114631,17.69713193508906,2.60000000015134,47.592486523521984,0.8317119225091619,7.0,63.74793529948434,1.0,166.6666666569654,67.78536829851183,-69.51674315172198,-45.935316548425874,1.0000000291620381,-68.8157706368633,166.9129458174524,0.19648039356181485
ITL23,569860121,ITL23__569860121_stage_1_seed_1_hof_1.json,1,1,56.34358503354454,1.1769363187864883,-68.89638910232675,-78.40554286175337,-68.95344529337025,85.3525309915083,21.66961223134689,2.8000000001629815,27.686414446447404,0.8853702952143084,5.0,110.33656667264475,1.0,90.09009008484615,51.888871869242244,-69.09558672517768,-45.35208845618317,1.7000000292027835,-68.95579575792244,221.52723891106325,0.21538354992909703
ITL23,569860121,ITL23__569860121_stage_1_seed_1_hof_10.json,1,10,16.153557691801975,0.725641848599409,-69.2975290657828,-79.8312394986611,-69.30897137346088,94.19710894421256,-1.0672997899570191,3.7000000002153683,23.824501872473174,1.1496417218896815,1.0,20.102292425924873,1.0,0.0,67.92698234788362,-69.36926949833345,-47.10270337319972,2.9000000292726327,-69.30530728178236,0.0,0.0
ITL23,569860121,ITL23__569860121_stage_1_seed_1_hof_11.json,1,11,9.587815894268873,1.8015539308471205,-69.64757228103421,-79.81402830888896,-69.73987653371462,106.49499547106004,13.414192160747525,3.000000000174623,48.389000828790095,1.0154807987159913,2.0,12.527062269382533,0.0,1.6542597186795571,85.68931823246584,-71.11152907297618,-46.26771568461758,1.900000029214425,-69.81572269573597,46.311858003731295,0.18053149323685075
ITL23,569860121,ITL23__569860121_stage_1_seed_1_hof_12.json,1,12,15.773945954175685,0.7885830059578041,-68.35950422590284,-79.46444150155952,-68.38781977315563,88.1964175895379,3.63618686997161,3.500000000203727,23.3676460553038,1.0333268649895584,1.0,10.067346579241514,1.0,0.0,68.58245950929967,-69.77013184265448,-47.686035424717375,2.5000000292493496,-68.46495840420572,0.0,0.0
ITL23,569860121,ITL23__569860121_stage_1_seed_1_hof_13.json,1,13,23.147672389944052,1.2977097321848987,-68.2053102887571,-78.76931961584933,-68.26318151317868,98.05497059438662,11.953281166614765,3.3000000001920853,41.73484682328217,0.9181997475405639,1.0,51.558125236334895,0.0,0.0,110.00427801458136,-68.5457039532167,-42.24722279073633,1.8000000292086042,-68.27340493771922,0.0,0.0
ITL23,569860121,ITL23__569860121_stage_1_seed_1_hof_14.json,1,14,367.01990006875604,1.3032618008438703,-68.75715813164386,-78.00023878568079,-68.82258072063718,98.24156942535895,14.958076042420451,2.4000000001396984,46.089568454906285,0.8507353035135247,9.0,42.75334167084808,1.0,120.48192770383041,70.77934771338923,-68.97901178117876,-45.27527245818547,1.2000000291736796,-68.82300760914869,454.95791674481876,0.20983143335434343
ITL23,569860121,ITL23__569860121_stage_1_seed_1_hof_15.json,1,15,10.583579077827208,1.0725933008347823,-69.1088613045307,-78.00222374428704,-69.16066826161048,109.4160694085723,13.110624288347836,3.2000000001862645,49.759033014917286,1.0280583589386298,13.0,13.994642434625838,1.0,21.367521366277614,73.46608543800609,-69.46193639049515,-47.743750107362914,2.2000000292318873,-69.16064585512298,535.2061034894078,0.21521160220078722
