cell_name,spec_id,cell_type,seed_no,hof_no,Ra_all,cm_basal,cm_somatic,decay_CaDynamics_somatic,e_pas_all,g_pas_all,gamma_CaDynamics_somatic,gbar_Ca_HVA_somatic,gbar_Ca_LVA_somatic,gbar_Ih_basal,gbar_Ih_somatic,gbar_Im_basal,gbar_K_Pst_somatic,gbar_K_Tst_somatic,gbar_Kv3_1_basal,gbar_Kv3_1_somatic,gbar_NaTs2_t_basal,gbar_NaTs2_t_somatic,gbar_Nap_Et2_somatic,gbar_SK_somatic
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,1,181.730793673207,2.61184441074477,3.09445956626621,176.177375165777,-62.5947467529984,1.9204460010116e-05,0.00476420626652007,3.82392396801825e-05,0.000555319704212192,0.000475356866251629,0.000751068758792878,0.000361100524359461,0.00314278912097371,0.353373682635524,0.000428121133188006,0.0994908746286402,0.0367989232707255,2.91894822626159,0.000188087180857674,0.0219425995242134
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,2,181.730793673207,2.07195827719328,3.09445956626621,131.129581375982,-61.4149834653684,1.9204460010116e-05,0.0122283496132572,3.82392396801825e-05,0.000555319704212192,0.000481244721277491,0.000986684160887463,0.000361100524359461,0.00318550032074283,0.391795492029583,0.000428121133188006,0.18527192544636,0.0384977415922705,1.26040982499249,0.000885036448805419,0.0112755483167313
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,3,191.605471988497,2.70707264991554,6.66764276353267,257.071288971759,-65.0751338567764,3.97420614642762e-05,0.00317890489827614,2.01113832278857e-05,0.00145953476080742,0.000353037253949896,0.000812079873999145,6.62896887514569e-05,0.00108793062840943,0.458056913991109,0.000572341199898339,0.180340803444664,0.040494858501763,6.86091863458478,7.66000346150392e-05,0.0111574065187112
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,4,139.954527299625,3.10379464790688,5.81033954806822,257.071288971759,-66.0390374719789,3.33112732819345e-05,0.00373029732107753,4.02407544499251e-05,0.0015995936013984,0.000490329666851474,0.000588228134469368,2.35572690274453e-05,0.000495554477567717,0.588284292386743,0.000594679843213298,0.180010389054911,0.0390577549420677,5.78970431723504,8.39750144775356e-05,0.00730613707341404
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,5,181.730793673207,2.07195827719328,3.98330519621002,124.362976111339,-61.5503452539812,1.9204460010116e-05,0.0122283496132572,3.82392396801825e-05,0.000555319704212192,0.000521822661947922,0.00100196843739067,0.000357277161442478,0.0024988001051994,0.385920299923863,0.000664353886346621,0.177318968974663,0.0335179836907899,0.807585929693012,0.000885036448805419,0.0111787305891404
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,6,87.6478663691593,4.11725291225868,1.97394534560822,121.32605778046,-60.0343717659255,2.6946206566957e-05,0.01080211354877,4.66690368507796e-05,0.000725494296788425,0.000135756693854029,0.00114757002584968,0.000587607827803921,0.0229619841194895,0.00762957938178961,0.00417332766806658,0.29280795067772,0.0596799496474175,1.01682317769426,0.00468537567001585,0.00742030060389844
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,7,106.34173662288,2.69646858489101,4.79405227894165,257.071288971759,-61.0070625646847,5.44836013136288e-05,0.00393609808162109,4.00052282874276e-05,0.000504471836887894,0.000390488045242679,0.000961256075604532,1.01238018408901e-05,0.0016217653379809,0.625829515973574,0.00158336524914278,0.260905302164045,0.0371487704581598,7.89300109642157,0.000262278313249567,0.0138296736693463
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,8,103.033304118989,4.74280787805716,6.08937560257274,57.8500721771352,-62.3524338590242,2.20127423499552e-05,0.011943672426806,4.68936019761389e-05,0.000270388371610156,0.000271460782558031,0.000753909244748755,0.000567018145135901,0.012905053734436,0.0655811244417576,0.000232629025991909,0.278911566496681,0.0923295031429566,2.58958392587062,0.00468537567001585,0.0123136182689813
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,9,109.45946187213,4.09513512891296,5.79542040743215,252.712271902089,-60.0933171007527,3.91134228073476e-05,0.0028733446310839,5.59166011737407e-05,0.0011458588192745,0.000204666015800623,0.00118078564409512,0.000160695394818585,0.0038354763431164,0.428937573271445,0.000241202782467776,0.135586403585002,0.057452699626527,2.78636918012199,6.68168655091173e-05,0.0156870830713719
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,10,138.883431672914,3.10379464790688,5.81033954806822,263.430617563539,-62.365612763322,0.000102074218177425,0.00324258398671915,3.08041565136121e-05,0.00185928870485015,0.000196680108486168,0.000605550974922203,2.35572690274453e-05,4.77370865944001e-05,0.588284292386743,0.000592739210734917,0.216647032460515,0.0389347646405655,8.81313075463354,0.00127011325389805,0.00587203549439043
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,11,131.519367072669,2.7892421876889,6.46138965890294,336.423468291811,-65.8875550584198,3.34457310440233e-05,0.00301835467049566,8.87717427019373e-05,0.00026308636870604,0.000469671095892556,0.000586969409080184,5.91039390398543e-05,0.00040587100351821,0.588284292386743,0.000136415231837662,0.150821784039878,0.0311644109252951,5.98472198665034,8.39750144775356e-05,0.00613370181898116
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,12,87.227515806128,4.41489824471839,1.97394534560822,208.579008299226,-60.026194551856,2.22033596039923e-05,0.0138576588566031,1.58269413699421e-05,0.000756468539532675,0.000173009258491826,0.000974464844019754,0.000587607827803921,0.0150122000893216,0.0842811039787045,0.00417413689401064,0.29280795067772,0.0598666382268615,1.01682317769426,0.00468537567001585,0.00742030060389844
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,13,89.7202354868573,3.52733747002318,6.62890809725843,435.636532271233,-62.8159818556728,5.47212848021532e-05,0.00410622300836084,6.66863278361016e-05,0.000108314477298588,0.000430618948935816,0.00122826023968326,0.000370341563282484,0.000647429001387704,0.487748002058996,0.000207563700983042,0.240326324852008,0.0576978132563287,7.2994754985212,0.00117999875516903,0.00163986099003984
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,14,171.928343510427,2.65586099662736,6.59527090414128,89.3467855731957,-60.4621989799261,2.95289563607715e-05,0.00611155988519166,5.37798932183771e-05,0.00284938109466756,0.000286983187850982,0.000214510691886257,7.03999324665281e-05,0.0541445781068346,0.234905055031382,0.000770079950167587,0.188820134034448,0.0530963636025147,1.37229313029205,0.000557983672345896,0.0120598613656513
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,15,145.056950949067,3.10379464790688,4.865072568768,257.071288971759,-62.5647312679855,3.64901530393753e-05,0.00376225360169739,4.02407544499251e-05,0.00208823067698522,0.000413129014547723,0.000589368921272899,0.000183240303446611,0.000502490785160405,0.625754489917596,0.000594679843213298,0.180010389054911,0.0390577549420677,5.7665367148901,8.39750144775356e-05,0.00730613707341404
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,16,189.735279361956,3.67692692562037,6.04443651267199,201.840466333558,-67.8125049512146,2.46580181954968e-05,0.00218136561619443,0.000207971350503345,0.000937860697664706,0.00045274558241836,0.000686107526046892,2.66345888649268e-05,0.000285290021550214,0.508588764405024,0.00166242176990192,0.196665795702366,0.0564436503133951,5.22745460207438,0.000834291785340454,0.0112206200736174
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,17,173.324756786614,2.66366680141605,6.4347364909031,289.270298281561,-65.0731055773848,4.29511871154683e-05,0.00287569798596788,0.000155460736833741,0.00174033196315391,0.000437470478070419,0.000773997404497789,1.24939401926222e-05,0.00161730444916146,0.08727693355579,0.000594679843213298,0.179994164558703,0.040494858501763,6.59476989169242,7.66000346150392e-05,0.00235498217728881
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,18,106.161908488568,4.03233343558604,4.13728650662815,47.7207198221106,-60.0401407100752,6.30121226179412e-05,0.00777938528493883,9.85660732988523e-05,3.06626747533901e-05,0.000441764796274703,0.00102391260525054,7.27687861146205e-05,0.139033297018031,0.447846930670393,1.07947730489099e-05,0.129032000932953,0.0672702600873003,1.43742305260755,0.00117046167114523,0.0259257265360551
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,19,194.787166569385,2.65462204616332,4.01836605079053,338.203374617243,-66.0390374719789,3.34457310440233e-05,0.00302710173762148,2.3397015635312e-05,0.00116230607252281,0.000412450333159938,0.000588228134469368,1.54250404601497e-05,0.00026013881124477,0.588284292386743,0.000139936631075055,0.150455532265808,0.0390577549420677,5.41302757547395,0.000102872783819891,0.0254337748897198
ITL35__653040833_seed_1_Outputs,653040833,ITL35,1,20,85.2933282180609,3.8650746508087,2.82339317940611,196.625375145895,-62.326043173343,1.91928506279512e-05,0.00808064592405344,1.53605108738964e-05,0.00227046821359956,0.000138901072715321,0.000977253890244911,0.000148720930391577,0.122304064076982,0.0322618696902371,0.00204315159573426,0.29280795067772,0.0659415700652999,1.01682317769426,0.00468537567001585,0.00538102316394726
ITL35__653808728_seed_1_Outputs,653808728,ITL35,1,1,63.7796487893771,3.45740507304717,1.88441219751497,428.680281968541,-64.6263293196556,2.78835045057319e-05,0.000936052051981097,6.88262460571536e-05,0.00627419638537532,0.00357979421902952,0.00251230950077381,9.11503807303175e-05,0.0482791941202714,0.450839999639009,4.31788961272549e-06,0.279090687803105,0.0528387635340642,5.29423842738028,2.08781823884814e-06,0.0668577973200548
